CountryDestinyEN,Importer region
CANADA,North America
GERMANY,Europe (EU)
IRAN,Middle East and North Africa
MOZAMBIQUE,Sub-Saharan Africa
PAKISTAN,South Asia
SEYCHELLES,Sub-Saharan Africa
FINLAND,Europe (EU)
UNITED STATES,North America
DOMINICAN REPUBLIC,Caribbean and Central America
KAZAKHSTAN,Central and Northern Asia
SENEGAL,Sub-Saharan Africa
INDIA,South Asia
UNITED ARAB EMIRATES,Middle East and North Africa
BAHRAIN,Middle East and North Africa
CHILE,South America
KUWAIT,Middle East and North Africa
MEXICO,North America
TURKEY,Europe (other)
BELGIUM,Europe (EU)
KYRGYZSTAN,Central and Northern Asia
PHILIPPINES,Southeast Asia
FRANCE,Europe (EU)
ITALY,Europe (EU)
MAURITANIA,Sub-Saharan Africa
MONTENEGRO,Europe (other)
NIGER,Sub-Saharan Africa
SAINT KITTS AND NEVIS,Caribbean and Central America
SERBIA,Europe (other)
"MACEDONIA, FYR",Europe (other)
GREECE,Europe (EU)
COTE D'IVOIRE,Sub-Saharan Africa
NETHERLANDS,Europe (EU)
SWITZERLAND,Europe (other)
EGYPT,Middle East and North Africa
BULGARIA,Europe (EU)
CROATIA,Europe (EU)
DENMARK,Europe (EU)
NEW CALEDONIA,Oceania
BURKINA FASO,Sub-Saharan Africa
LUXEMBOURG,Europe (EU)
MALI,Sub-Saharan Africa
NICARAGUA,Caribbean and Central America
NIGERIA,Sub-Saharan Africa
SPAIN,Europe (EU)
SWEDEN,Europe (EU)
ROMANIA,Europe (EU)
SAUDI ARABIA,Middle East and North Africa
TUNISIA,Middle East and North Africa
UGANDA,Sub-Saharan Africa
ANGOLA,Sub-Saharan Africa
AUSTRIA,Europe (EU)
"CONGO, DEM. REP.",Sub-Saharan Africa
GAMBIA,Sub-Saharan Africa
GHANA,Sub-Saharan Africa
JAPAN,East Asia excluding China
JORDAN,Middle East and North Africa
LEBANON,Middle East and North Africa
LIBYA,Middle East and North Africa
UNITED KINGDOM,Europe (EU)
BENIN,Sub-Saharan Africa
"KOREA, REP.",East Asia excluding China
MALAYSIA,Southeast Asia
SRI LANKA,South Asia
GUINEA,Sub-Saharan Africa
"CHINA, HONG KONG SAR",China
TONGA,Oceania
SAMOA,Oceania
CAMEROON,Sub-Saharan Africa
TOGO,Sub-Saharan Africa
COMOROS,Sub-Saharan Africa
ZIMBABWE,Sub-Saharan Africa
ZAMBIA,Sub-Saharan Africa
BOTSWANA,Sub-Saharan Africa
ETHIOPIA,Sub-Saharan Africa
MOLDOVA,Europe (other)
RWANDA,Sub-Saharan Africa
IRELAND,Europe (EU)
RUSSIAN FEDERATION,Central and Northern Asia
YEMEN,Middle East and North Africa
NAMIBIA,Sub-Saharan Africa
"CONGO, REP.",Sub-Saharan Africa
SAO TOME AND PRINCIPE,Sub-Saharan Africa
SOUTH AFRICA,Sub-Saharan Africa
ALBANIA,Europe (other)
BRITISH VIRGIN ISDS,Caribbean and Central America
MONTSERRAT,Caribbean and Central America
CURACAO,Caribbean and Central America
PORTUGAL,Europe (EU)
SAINT VINCENT AND THE GRENADINES,Caribbean and Central America
"AREAS, NES",Other
DOMINICA,Caribbean and Central America
MALTA,Europe (EU)
GUYANA,South America
SAINT LUCIA,Caribbean and Central America
SOLOMON ISDS,Oceania
CHINA,China
GEORGIA,Central and Northern Asia
ISRAEL,Middle East and North Africa
BELARUS,Central and Northern Asia
IRAQ,Middle East and North Africa
THAILAND,Southeast Asia
TAJIKISTAN,Central and Northern Asia
TURKMENISTAN,Central and Northern Asia
AFGHANISTAN,South Asia
ALGERIA,Middle East and North Africa
ANDORRA,Europe (other)
AZERBAIJAN,Central and Northern Asia
ARGENTINA,South America
AUSTRALIA,Oceania
BAHAMAS,Caribbean and Central America
BANGLADESH,South Asia
ARMENIA,Central and Northern Asia
BARBADOS,Caribbean and Central America
BOLIVIA,South America
BOSNIA HERZEGOVINA,Europe (other)
BRAZIL,South America
BELIZE,Caribbean and Central America
BURUNDI,Sub-Saharan Africa
CABO VERDE,Sub-Saharan Africa
COLOMBIA,South America
COSTA RICA,Caribbean and Central America
CUBA,Caribbean and Central America
CYPRUS,Europe (EU)
CZECH REP.,Europe (other)
ECUADOR,South America
EL SALVADOR,Caribbean and Central America
EQUATORIAL GUINEA,Sub-Saharan Africa
ESTONIA,Europe (EU)
FRENCH POLYNESIA,Oceania
DJIBOUTI,Sub-Saharan Africa
GABON,Sub-Saharan Africa
STATE OF PALESTINE,Middle East and North Africa
GUATEMALA,Caribbean and Central America
HAITI,Caribbean and Central America
HONDURAS,Caribbean and Central America
HUNGARY,Europe (EU)
INDONESIA,Southeast Asia
JAMAICA,Caribbean and Central America
KENYA,Sub-Saharan Africa
LATVIA,Europe (EU)
LIBERIA,Sub-Saharan Africa
LITHUANIA,Europe (EU)
MADAGASCAR,Sub-Saharan Africa
MALAWI,Sub-Saharan Africa
MAURITIUS,Sub-Saharan Africa
"OTHER ASIA, NES",East Asia excluding China
MOROCCO,Middle East and North Africa
OMAN,Middle East and North Africa
NEPAL,South Asia
ARUBA,Caribbean and Central America
NEW ZEALAND,Oceania
NORWAY,Europe (other)
PANAMA,Caribbean and Central America
PARAGUAY,South America
PERU,South America
POLAND,Europe (EU)
GUINEA-BISSAU,Sub-Saharan Africa
QATAR,Middle East and North Africa
SIERRA LEONE,Sub-Saharan Africa
SINGAPORE,Southeast Asia
SLOVAKIA,Europe (EU)
VIETNAM,Southeast Asia
SLOVENIA,Europe (other)
SURINAME,South America
SYRIA,Middle East and North Africa
TRINIDAD AND TOBAGO,Caribbean and Central America
UKRAINE,Central and Northern Asia
TANZANIA,Sub-Saharan Africa
FREE ZONES,Other
URUGUAY,South America
VENEZUELA,South America
CAMBODIA,Southeast Asia
ERITREA,Sub-Saharan Africa
SUDAN,Sub-Saharan Africa
BRUNEI DARUSSALAM,Southeast Asia
ICELAND,Europe (other)
MALDIVES,South Asia
ANTIGUA AND BARBUDA,Caribbean and Central America
"CHINA, MACAO SAR",China
SOUTH SUDAN,Sub-Saharan Africa
ANTARCTICA,Other
MYANMAR,Southeast Asia
CHRISTMAS ISDS,Oceania
COOK ISDS,Oceania
FIJI,Oceania
KIRIBATI,Oceania
GUAM,Oceania
"KOREA, DEM. REP.",East Asia excluding China
LAO PDR,Southeast Asia
MONGOLIA,Central and Northern Asia
NAURU,Oceania
VANUATU,Oceania
NORFOLK ISDS,Oceania
N. MARIANA ISDS,Oceania
MICRONESIA,Oceania
MARSHALL ISDS,Oceania
PALAU,Oceania
PAPUA NEW GUINEA,Oceania
TIMOR-LESTE,Southeast Asia
